star,us,us_e,gs,gs_e,rs,rs_e
1,-3.744067907333374,0.2354489117860794,-5.8378448486328125,0.14679211378097534,-5.135926723480225,0.3779720067977905
2,-4.983146667480469,0.06806894391775131,-9.319409370422363,0.009568816982209682,-9.91800308227539,0.00724739208817482
3,-6.38095235824585,0.025290261954069138,-9.386509895324707,0.009234340861439705,-9.34371280670166,0.009821059182286263
4,-6.528453826904297,0.02397385984659195,-9.684455871582031,0.008721230551600456,-9.740534782409668,0.008356085047125816
5,-5.618065357208252,0.04370053485035896,-9.956470489501953,0.007780484855175018,-10.659387588500977,0.005932252388447523
6,-6.102750778198242,0.03130252659320831,-9.725876808166504,0.008341756649315357,-9.959785461425781,0.00742162624374032
7,-5.2035441398620605,0.05617575719952583,-7.93374490737915,0.023872414603829384,-7.838926315307617,0.031695809215307236
