mass,logg,Teff
0.09999982052460545,5.17431187260258,2907.2533076665877
0.10454631530082052,5.16892871136411,2924.6971527384567
0.1091245306302478,5.163377434413871,2942.948393637256
0.11371688052244865,5.157681218262388,2961.806221981759
0.11832503256618818,5.151802983531416,2981.2716203407285
0.12294597135099157,5.145719565078545,3001.3750158533994
0.12758465517177145,5.139361010769909,3022.1883561957657
0.13223377234521894,5.132712479497718,3043.660539866106
0.13690460598554827,5.125670969201488,3065.7876358108174
0.14158964114204187,5.118218382241432,3088.4064669947275
0.14628172567953265,5.110360017787697,3111.3905011609095
0.15336515146922938,5.10029903119924,3136.305752055491
0.1695324587389247,5.083065145322622,3167.8308193206763
0.1860864975731593,5.064794300526796,3200.614926395859
0.2013071340036402,5.048003235106185,3230.9918195001123
0.2087113340540802,5.042256886053478,3244.4114504356107
0.2162177786629592,5.0365383106143415,3258.0685673281378
0.22371709449278032,5.030985917188457,3271.7704135800805
0.23116251924261136,5.025578971426364,3285.441282114043
0.2387340037686431,5.020014009572432,3299.3947354057527
0.2462994734744056,5.014461303508176,3313.3940863109024
0.25767185358971234,5.007597445340288,3334.2721315644603
0.2730420875427214,4.999159820488334,3362.512224784463
0.28850651385482673,4.990621051725784,3391.163520896027
0.3015170610868658,4.9835580336961485,3415.8401565891077
0.3075089958956889,4.980900498482503,3428.609689544595
0.31054298403357056,4.978723861950747,3435.1774731910955
0.3115110285487642,4.97722310517585,3437.312026687225
0.31243588516150383,4.976373520515848,3439.246656108285
0.3133904171494603,4.97578059279147,3441.154816874758
0.3142998672194439,4.975477804415171,3442.8977109102248
0.3150713139038723,4.975236470869538,3444.3435476054055
0.31582867521920915,4.975017395657128,3445.7507101670853
0.31658592412745723,4.974785051181466,3447.157778130374
0.31736803238320765,4.974395291508538,3448.6607903273593
0.3181441446154767,4.974259746942147,3450.21541386246
0.3189222770083677,4.974372958783893,3451.839420002967
0.31972534974006506,4.974348711903192,3453.4549207241093
0.3225318786804743,4.972842156000926,3458.8326106011355
0.3265053206201142,4.9699478926147584,3466.325800711463
0.3324966554536916,4.965533726410904,3477.5163897129246
0.350524858495285,4.954411460451051,3510.7624033031652
0.35651480437628297,4.950400994060671,3521.317072275537
0.3661624651241284,4.943579386075456,3537.856309057758
0.37890071242739903,4.93383539369677,3558.9013178354166
0.38722449723870267,4.92699195429848,3572.3872403111336
0.41793428807478333,4.898789520713796,3621.7279446470657
0.4542361272257991,4.863650840851139,3681.9510629918145
0.4747805337258349,4.842568412119258,3720.518902205545
0.4943527814319846,4.822565046390793,3757.6032561099764
0.5149485691689522,4.801894176530428,3803.03624325464
0.5366481425080201,4.780349083901002,3854.0806451537687
0.555261017042645,4.762302219345624,3900.681176051099
0.5701723952275564,4.748636336309051,3943.026890104286
0.5854819470480533,4.734635261791961,3987.0739834251403
0.5996969366357169,4.721626050836561,4028.4310731237765
0.6081851889747838,4.716533675785392,4061.4161176742314
0.6165902118306626,4.711577459801249,4094.606301689061
0.6247075775567574,4.7067710264694425,4126.878184734008
0.6325563395616489,4.702104239312859,4158.284749012057
0.6410580531449734,4.697048540553966,4192.586996482393
0.6493976213803465,4.692071242442459,4226.487994777504
0.6574497207889985,4.687244967383557,4259.450291850484
0.6652335820232111,4.682559400195953,4291.529156319721
0.6737787266552289,4.677427393551559,4327.134487478447
0.6820917215428633,4.672420054528885,4362.034082284896
0.6901152586864642,4.667570634172561,4395.954462966268
0.6978689409252709,4.662868306616484,4428.954142730374
0.7089841147593441,4.658108365780105,4475.324263388353
0.7206712729927773,4.6535904156015295,4524.288876538912
0.731858128490193,4.649264377528807,4571.70482936621
0.7426264367822126,4.645099473018823,4617.864709706665
0.754104078974612,4.640686072832983,4667.700252167613
0.7655440139810058,4.636295685019414,4717.986797149568
0.7765029947188259,4.63208651169753,4766.724579405746
0.7870208290478344,4.628043688331648,4814.03070357739
0.7977618085903214,4.623927155312174,4862.902713431547
0.8090498280889886,4.619620980760366,4914.899272888631
0.8198694289316913,4.615490284328205,4965.314236698986
0.8302590169027051,4.611520798018801,5014.2658270321845
0.8402524333362595,4.607699945127035,5061.859115298211
0.8511270960395237,4.6035649119398805,5114.2071410342705
0.8618915532242666,4.599474459706889,5166.605588956588
0.8722315155385082,4.595541998974125,5217.492058867277
0.882180186427368,4.591755264532928,5266.974086117566
0.8917756430104221,4.588100255578696,5315.191668044569
0.9025614951226592,4.583585671193459,5366.416158813007
0.913314923763719,4.577764690037575,5406.601382579135
0.9236406744815396,4.572164715697319,5445.45121349012
0.9335723111980893,4.566768357419289,5483.061164732847
0.9431911860346248,4.561532674666033,5519.712115713768
0.953980233816561,4.555667480415672,5561.041052035265
0.964376532847198,4.550003956610644,5601.134241808686
0.974372515286239,4.544546599443834,5639.933284376499
0.986223289599613,4.537722532949512,5683.523432712695
1.0009165037676453,4.528855594662399,5734.811644927744
1.0109171132098005,4.522651875233878,5768.639834036402
1.0208883422136052,4.5164512048031,5802.452197261415
1.0283687659172407,4.511747568132347,5827.099472809161
1.0351754786289595,4.507455198156729,5849.610279109918
1.043571205468247,4.502104569720419,5877.01445470439
1.0533977194268993,4.4957422822993935,5908.490992941211
1.062979715530891,4.489525874516265,5938.95111110515
1.073322468147108,4.482813368971281,5971.063458448433
1.0841455683538848,4.475780740440361,6004.848644694909
1.0943105455965418,4.469159646725341,6036.749374933823
1.1081211725374098,4.460228364533,6079.3493365998675
1.1218752632531404,4.451368916452163,6121.2543803772805
1.1305516536360454,4.445786077735866,6147.401104440219
1.1399389904709911,4.439739308582559,6175.8084370941215
