,teff,logg,ebv,hcam:gtc:u_s,hcam:gtc:g_s,hcam:gtc:r_s,hcam:gtc:i_s,hcam:gtc:z_s,sdss:u,sdss:g,sdss:r,sdss:i,sdss:z,u-g,g-r,r-i,i-z,g-i,u-u_s,g-g_s,r-r_s,i-i_s,z-z_s
0,4028.4310731237765,4.721626050836561,0.0,-31.986031842691084,-35.11978768408466,-36.34616069358288,-36.93951154726846,-37.22206388579776,-31.8027408907963,-35.04897219507693,-36.335941201708486,-36.89152037482899,-37.20624416833321,3.2462313042806272,1.2869690066315584,0.5555791731205062,0.3147237935042142,1.8425481797520646,-0.18329095189478295,-0.07081548900773527,-0.010219491874394748,-0.04799117243946682,-0.01581971746455224
1,4061.4161176742314,4.716533675785392,0.0,-32.234502379811346,-35.20152267247818,-36.44256451121343,-37.02655596013406,-37.302749248951315,-32.04624181908339,-35.13516858499164,-36.43758743406398,-36.97774672120219,-37.28691813555547,3.0889267659082478,1.302418849072339,0.5401592871382093,0.30917141435327977,1.8425781362105482,-0.18826056072795438,-0.0663540874865376,-0.004977077149455056,-0.04880923893187372,-0.01583111339584775
2,4094.606301689061,4.711577459801249,0.0,-32.43753290805538,-35.277625227770834,-36.53201091763649,-37.107727016287384,-37.37824478290412,-32.24611474426319,-35.21502022971535,-36.53148259699994,-37.05826061135013,-37.362408055947924,2.9689054854521615,1.3164623672845934,0.5267780143501852,0.3041474445977954,1.8432403816347787,-0.19141816379219279,-0.06260499805548392,-0.000528320636547619,-0.04946640493725596,-0.01583672695619498
3,4126.878184734008,4.7067710264694425,0.0,-32.46559497500586,-35.36081680886234,-36.582011537614974,-37.11605524092753,-37.37899676828047,-32.28377517676887,-35.29726448476828,-36.57909849861592,-37.07091084383348,-37.36379271213888,3.013489307999407,1.281834013847643,0.4918123452175607,0.2928818683054004,1.7736463590652036,-0.18181979823698668,-0.06355232409406142,-0.0029130389990541516,-0.04514439709404883,-0.015204056141591593
4,4158.284749012057,4.702104239312859,0.0,-32.46567285533763,-35.439459849197235,-36.62295088317844,-37.111462899798504,-37.3663770276815,-32.29518913500116,-35.37446402239925,-36.61670396495832,-37.0714915995603,-37.35193756596415,3.0792748873980926,1.242239942559067,0.4547876346019777,0.2804459664038532,1.6970275771610446,-0.1704837203364704,-0.06499582679798266,-0.006246918220121245,-0.039971300238207164,-0.014439461717351776
5,4192.586996482393,4.697048540553966,0.0,-32.46812987583139,-35.52022728368709,-36.666227538849135,-37.10700460871182,-37.352932374285004,-32.3095423512391,-35.453963171063016,-36.656586641977896,-37.07269217004859,-37.3393583776135,3.144420819823914,1.2026234709148795,0.4161055280706947,0.26666620756491,1.6187289989855742,-0.15858752459228498,-0.06626411262407572,-0.00964089687123959,-0.034312438663228306,-0.013573996671503608
6,4226.487994777504,4.692071242442459,0.0,-32.60463851554659,-35.593774128515236,-36.736857346888286,-37.16943684294374,-37.405578764974436,-32.44849539104621,-35.52942748422619,-36.728646190640276,-37.135845811103465,-37.392333409679956,3.0809320931799817,1.1992187064140865,0.4071996204631887,0.2564875985764914,1.6064183268772751,-0.1561431245003817,-0.06434664428904568,-0.008211156248009388,-0.0335910318402739,-0.013245355294479566
7,4259.450291850484,4.687244967383557,0.0,-32.75431866013988,-35.66016604413195,-36.80949314104912,-37.244416310654096,-37.47189809322568,-32.597882712643745,-35.598200728099464,-36.803678760003436,-37.21024035681236,-37.45879546927927,3.0003180154557185,1.2054780319039722,0.40656159680892756,0.2485551124669101,1.6120396287128997,-0.15643594749613499,-0.06196531603248445,-0.005814381045681216,-0.03417595384173211,-0.013102623946409153
8,4291.529156319721,4.682559400195953,0.0,-32.88399400974019,-35.72079802857922,-36.876509729294646,-37.31373967535596,-37.533762000399996,-32.72711078465051,-35.660882609757785,-36.872797406615994,-37.279030956680145,-37.52077250224778,2.9337718251072715,1.2119147968582098,0.40623355006415096,0.24174154556763483,1.6181483469223608,-0.156883225089679,-0.05991541882143281,-0.003712322678651958,-0.03470871867581593,-0.012989498152215617
9,4327.134487478447,4.677427393551559,0.0,-32.92281675458932,-35.79334726779601,-36.93632389755914,-37.357780161875226,-37.56792375768178,-32.79706461045373,-35.733023153040776,-36.93264864572281,-37.32499448552149,-37.5554403253373,2.935958542587045,1.1996254926820313,0.3923458397986863,0.23044583981580757,1.5919713324807176,-0.1257521441355891,-0.06032411475523247,-0.0036752518363343256,-0.03278567635373264,-0.012483432344481571
