star,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
2,56.73,487385918,307.310752,-43.658038,36,36,202914.58-433928.9,58067.6209,0,6,37,2,1,0.985,18.9019,0.0315,19.1596,0.4108,18.533,0.0845,18.5881,0.1703,16.3355,0.007,16.3376,0.0135,15.7558,0.0045,15.757,0.0115,15.3931,0.0033,15.4141,0.0054,15.2688,0.004,15.2952,0.011,15.0,
3,96.49,487385923,307.336867,-43.647725,36,36,202920.85-433851.8,58015.005,0,4,32,2,1,0.985,17.7643,0.0228,17.7588,0.0636,17.3536,0.0087,17.3188,0.0536,16.49,0.0118,16.4812,0.0135,16.2876,0.0081,16.2851,0.017,16.1789,0.0042,16.1905,0.0125,16.1811,0.011,16.2294,0.0109,15.0,
4,108.99,487385925,307.347105,-43.648282,36,36,202923.30-433853.8,58094.8974,0,1,36,3,1,0.984,17.6383,0.0074,17.7315,0.0416,17.2195,0.0064,17.2476,0.0397,16.1955,0.0141,16.1693,0.0154,15.9097,0.0047,15.9115,0.0109,15.7441,0.0038,15.7571,0.0082,15.7244,0.0043,15.7466,0.0174,15.0,
5,109.02,487385913,307.303292,-43.644504,36,36,202912.78-433840.2,58042.7824,0,8,38,2,1,0.993,18.372,0.0315,18.4642,0.1348,17.9681,0.0096,18.0087,0.0515,15.6885,0.0075,15.6909,0.0154,15.0192,0.0067,15.0322,0.0075,14.5488,0.0032,14.558,0.0081,14.3662,0.0033,14.3838,0.0075,15.0,
6,114.43,487385926,307.352545,-43.649819,36,36,202924.60-433859.3,58056.7784,0,9,40,3,1,0.988,17.9794,0.0078,17.9301,0.0582,17.6271,0.0069,17.6993,0.0758,16.0567,0.0053,16.0661,0.0062,15.6947,0.0055,15.6998,0.0076,15.4682,0.0034,15.4904,0.0068,15.4046,0.0056,15.4445,0.0123,15.0,
9,134.02,487385970,307.354799,-43.700027,36,36,202925.15-434200.1,57695.962,0,10,28,3,1,0.993,12.6989,0.0043,12.6949,0.006,12.2836,0.0057,12.2768,0.0073,11.1569,0.0061,11.1335,0.0162,10.9009,0.0053,10.8843,0.0121,10.7813,0.0053,10.7747,0.0148,10.7739,0.0053,10.7725,0.0099,14.8,1594917810
7,139.99,1594917689,307.37099,-43.657649,36,36,202929.03-433927.5,58338.9402,0,2,22,1,1,0.985,19.0151,0.044,19.3215,0.2238,18.6252,0.02,18.6322,0.1784,17.9609,0.007,17.9662,0.0205,17.8051,0.0061,17.8224,0.0194,17.7099,0.0069,17.6762,0.0333,17.7093,0.0174,17.6144,0.1181,15.0,
9,142.72,487385904,307.273782,-43.692083,36,36,202905.71-434131.5,58054.8062,0,4,40,2,1,0.985,17.8622,0.0253,17.7579,0.0928,17.4763,0.008,17.4815,0.0659,16.124,0.0068,16.1258,0.0165,15.7384,0.0057,15.7325,0.0064,15.3673,0.005,15.3986,0.0083,15.236,0.0036,15.2682,0.0075,15.0,
