,aperture,g,r,u
0,1,20.088518861910174,20.774986236783946,20.950224752312497
1,2,16.734577590647902,16.27594969881479,18.270080172299547
2,3,16.832278563069366,15.832985115265295,19.673449452421657
3,4,16.452672211474702,15.772332831857602,18.53515868342774
4,5,16.393489460085593,15.77902071982706,17.583452543223345
5,6,16.460015904916812,15.880909137593495,18.09533702065784
6,7,16.786579583728468,16.37382188926998,18.23264139281758
7,8,17.086818326376818,16.20289336349535,19.398008245221636
