,Teff,g-g_s,g-i,g-r,g_s,i-i_s,i-z,i_s,logg,r-i,r-r_s,r_s,u-g,u-u_s,u_s,z-z_s,z_s
0,5000.0,0.02487001358132801,0.9383610928901192,0.6833694553612872,-37.21146062585227,0.015911245513535732,0.11782989712701664,-38.140862950674595,8.5,0.2549916375288319,0.018391667494981334,-37.88835173512721,1.639533958952633,0.1338613408340521,-35.68091799415236,0.08032351778203406,-38.32310512007011
1,5250.0,0.02145665479566361,0.8103933564672374,0.5934993533631712,-37.53849494267636,0.01269951140700698,0.0885928359263346,-38.34013115575494,8.5,0.21689400310406626,0.015945887317876384,-38.12648352856174,1.3970446319920597,0.12179609634365818,-36.24178975223229,0.07231113116622367,-38.48833561144049
2,5500.0,0.018675032046459705,0.6982369385490372,0.5149859954260236,-37.83093565094685,0.009824521824789656,0.0624586100594513,-38.520322079274216,8.5,0.1832509431230136,0.013856209476074355,-38.34110282380249,1.1947976112239687,0.10980708984192944,-36.72727009751835,0.06545072013622644,-38.638406887645104
3,5750.0,0.016351382761335742,0.5981651579369824,0.44535068387225607,-38.092990168989466,0.00725421559234718,0.03917656542143533,-38.68205815975746,8.5,0.15281447406472637,0.011970214763827869,-38.533959684864215,1.0153919593257967,0.09729442850109393,-37.15854125540343,0.05958529564536974,-38.77356580523192
4,6000.0,0.014367982040397465,0.5098635647921057,0.38417544876519827,-38.32694663269017,0.004994136654595138,0.01853224575315693,-38.82743635209648,8.5,0.12568811602690744,0.010269264231013153,-38.70702336364599,0.8555857611797606,0.08363529576232054,-37.540628185232336,0.054457392697514706,-38.89543185389255
5,6250.0,0.012694501475962738,0.4305783212422156,0.3302693590005461,-38.53899398584598,0.0029199616382271643,-0.00014458336411138362,-38.95979776725046,8.5,0.10030896224166952,0.008668244767449096,-38.86523708813801,0.725090367658602,0.07076495198754884,-37.87197406869896,0.0499754722281196,-39.00670869447624
6,6500.0,0.011240421256346167,0.35790393474812987,0.28097041748219453,-38.73163172369241,0.0010397678337170646,-0.01698840388953471,-39.07933500501791,8.5,0.07693351726593534,0.0071856214431349485,-39.00854734136139,0.6225432221803047,0.0600850078638544,-38.15793308811961,0.04607559354766977,-39.10738242684233
7,6750.0,0.010005077681540797,0.29199574162777964,0.23630372547336265,-38.906569029264716,-0.0006509858245422606,-0.03223596056277955,-39.18790870738641,8.5,0.05569201615441699,0.005832702212131835,-39.13870037926867,0.5436010912172691,0.05200357453655613,-38.40496643490246,0.04262751325127567,-39.19895124589945
8,7000.0,0.00906776321395597,0.2350283973817895,0.19878142194438198,-39.067134451498795,-0.0022400421545185623,-0.04654554485193785,-39.29085504351211,8.5,0.036246975437407514,0.004622376302179987,-39.2614704865314,0.48499500348270175,0.045945109510860505,-38.619016794313,0.039366676755498986,-39.28591621757019
9,7250.0,0.008298401474320372,0.18359125629846318,0.1646027640526242,-39.216441775390585,-0.003646678675480075,-0.0597331886841701,-39.38808795153925,8.5,0.018988492245838984,0.003540516720931919,-39.37628665468982,0.4396984203977752,0.04112944635549809,-38.80957439987399,0.036154772496104215,-39.36815621402666
